prop,source_lang,ablation,mean_delta_lex,std_delta_lex
0.0000,en,object,-0.0030,0.0064
0.0000,en,subject,-0.0029,0.0039
0.0000,en,verb,-0.0001,0.0002
0.0000,nl,object,0.0033,0.0060
0.0000,nl,subject,0.0004,0.0002
0.0000,nl,verb,-0.0000,0.0000
0.0100,en,object,-0.1561,0.0250
0.0100,en,subject,-0.2940,0.0240
0.0100,en,verb,-0.1168,0.0108
0.0100,nl,object,0.1512,0.0369
0.0100,nl,subject,0.3171,0.0342
0.0100,nl,verb,0.0523,0.0482
0.1000,en,object,-0.1230,0.0191
0.1000,en,subject,-0.2781,0.0301
0.1000,en,verb,-0.1175,0.0080
0.1000,nl,object,0.1713,0.0161
0.1000,nl,subject,0.2798,0.0337
0.1000,nl,verb,0.1086,0.0067
0.2500,en,object,-0.1214,0.0170
0.2500,en,subject,-0.2366,0.0217
0.2500,en,verb,-0.1122,0.0013
0.2500,nl,object,0.1682,0.0368
0.2500,nl,subject,0.2622,0.0148
0.2500,nl,verb,0.1062,0.0079
0.5000,en,object,-0.1126,0.0019
0.5000,en,subject,-0.2364,0.0147
0.5000,en,verb,-0.1016,0.0094
0.5000,nl,object,0.1549,0.0459
0.5000,nl,subject,0.2730,0.0242
0.5000,nl,verb,0.0398,0.0195
0.7500,en,object,-0.1084,0.0133
0.7500,en,subject,-0.1962,0.0233
0.7500,en,verb,-0.0812,0.0195
0.7500,nl,object,0.1431,0.0231
0.7500,nl,subject,0.3045,0.0539
0.7500,nl,verb,0.0290,0.0197
0.9000,en,object,-0.1153,0.0154
0.9000,en,subject,-0.1627,0.0306
0.9000,en,verb,-0.0974,0.0074
0.9000,nl,object,0.2063,0.0341
0.9000,nl,subject,0.3181,0.0201
0.9000,nl,verb,0.0755,0.0313
0.9900,en,object,-0.1082,0.0022
0.9900,en,subject,-0.1841,0.0324
0.9900,en,verb,-0.0404,0.0114
0.9900,nl,object,0.2726,0.0697
0.9900,nl,subject,0.4794,0.0421
0.9900,nl,verb,0.0599,0.0015
1.0000,en,object,-0.0000,0.0002
1.0000,en,subject,-0.0002,0.0002
1.0000,en,verb,-0.0000,0.0000
1.0000,nl,object,0.0003,0.0001
1.0000,nl,subject,0.0013,0.0009
1.0000,nl,verb,0.0004,0.0002
